Crypto_Name,Coin_Symbol,Link,Price,Market_Cap
Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,"$66,115.70",$1.3T
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,"$3,309.59",$397.08B
Tether USDt,USDT,https://coinmarketcap.com/currencies/tether/,$1.00,$105.32B
Solana,SOL,https://coinmarketcap.com/currencies/solana/,$188.48,$83.82B
BNB,BNB,https://coinmarketcap.com/currencies/bnb/,$556.54,$83.1B
USDC,USDC,https://coinmarketcap.com/currencies/usd-coin/,$0.9999,$32.9B
XRP,XRP,https://coinmarketcap.com/currencies/xrp/,$0.5871,$32.23B
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,$0.1856,$26.59B
Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,$0.5865,$20.87B
Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,$47.57,$17.94B
Toncoin,TON,https://coinmarketcap.com/currencies/toncoin/,$4.96,$17.22B
Shiba Inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/,$0.00002716,$16.01B
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,$8.66,$12.36B
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,$616.04,$12.13B
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,$18.07,$10.62B
TRON,TRX,https://coinmarketcap.com/currencies/tron/,$0.1174,$10.29B
Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,$0.9067,$8.98B
Internet Computer,ICP,https://coinmarketcap.com/currencies/internet-computer/,$18.40,$8.49B
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,$102.08,$7.59B
NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,$6.47,$6.82B
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,$10.99,$6.58B
Aptos,APT,https://coinmarketcap.com/currencies/aptos/,$14.48,$5.76B
UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,$6.01,$5.57B
Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,$0.9999,$5.35B
Stacks,STX,https://coinmarketcap.com/currencies/stacks/,$3.31,$4.81B
Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,$8.67,$4.6B
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,$30.29,$4.43B
Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,$11.07,$4.33B
Mantle,MNT,https://coinmarketcap.com/currencies/mantle/,$1.27,$4.11B
dogwifhat,WIF,https://coinmarketcap.com/currencies/dogwifhat/,$4.07,$4.06B
Arbitrum,ARB,https://coinmarketcap.com/currencies/arbitrum/,$1.47,$3.91B
Immutable,IMX,https://coinmarketcap.com/currencies/immutable-x/,$2.74,$3.9B
Cronos,CRO,https://coinmarketcap.com/currencies/cronos/,$0.1416,$3.76B
Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,$0.1291,$3.72B
Render,RNDR,https://coinmarketcap.com/currencies/render/,$9.62,$3.67B
Bittensor,TAO,https://coinmarketcap.com/currencies/bittensor/,$560.48,$3.66B
Maker,MKR,https://coinmarketcap.com/currencies/maker/,"$3,833.33",$3.54B
Hedera,HBAR,https://coinmarketcap.com/currencies/hedera/,$0.1052,$3.55B
OKB,OKB,https://coinmarketcap.com/currencies/okb/,$57.40,$3.44B
The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/,$0.3369,$3.19B
Optimism,OP,https://coinmarketcap.com/currencies/optimism-ethereum/,$3.16,$3.18B
Injective,INJ,https://coinmarketcap.com/currencies/injective/,$33.93,$3.17B
