band_color,band_material,band_width,case_diameter,case_material,case_thickness,discount,img,item_weight,manufacturer,mrp,num_ratings,pay_on_delivery,rating,returnable,sp,title,warranty
,,,,,,-82%,https://m.media-amazon.com/images/I/417gNnjTKEL._SY300_SX300_.jpg,,,₹389,"2,330 ratings",True, 3.9 ,True,389,LOUIS DEVIN Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,
,,,,,,-85%,https://m.media-amazon.com/images/I/41nvFIqlOPL._SY300_SX300_.jpg,,, ,874 ratings,True, 3.6 ,True,299,Matrix Antique Day & Date Leather Strap Analog Silicone Watch For Men & Boys - Black,
,,,,,,-25%,https://m.media-amazon.com/images/I/41hMghGyW2L._SY300_SX300_.jpg,,,"₹1,796.25",109 ratings,True, 4.1 ,True,"1,796",Casio Analog Silver Dial Men's Watch-MTP-V002L-7B3UDF,
,,,,,,-34%,https://m.media-amazon.com/images/I/41NcaQ0zytL._SY300_SX300_.jpg,,,"₹1,052.70","2,997 ratings",True, 4.1 ,True,"1,052",TIMEX TW00ZR263E,
,,,,,,-22%,https://m.media-amazon.com/images/I/414l07ZXtwL._SY300_SX300_.jpg,,, ,233 ratings,True, 4.2 ,True,"1,240",Fastrack Black Dial Analog Watch for Men -NR38058PP03,
,,,,,,-40%,https://m.media-amazon.com/images/I/41MQgIAO4gL._SY300_SX300_.jpg,,, ,10 ratings,True, 4.4 ,True,"2,157",Casio Analog Black Dial Men's Watch-MTP-VD02D-1EUDF,
,,,,,,-20%,https://m.media-amazon.com/images/I/315purGv+oL._SY300_SX300_.jpg,,, ,"2,322 ratings",True, 4.3 ,True,635,Fastrack Analog Men's Watch,
,,,,,,-27%,https://m.media-amazon.com/images/I/41PVlN8IrNL._SY300_SX300_.jpg,,, ,815 ratings,True, 4.3 ,True,"3,146",Fastrack Orange Dial Analog Watch For Men -NR38035SP03,
,,,,,,-25%,https://m.media-amazon.com/images/I/41-Th3nP4aL._SX300_SY300_QL70_FMwebp_.jpg,,,"₹1,646.25",365 ratings,True, 4.5 ,True,"1,646",Casio Analog Silver Dial Men's Watch-MTP-V005L-7B5UDF,
,,,,,,-20%,https://m.media-amazon.com/images/I/4160xd2o7tL._SY300_SX300_.jpg,,,"₹1,276",63 ratings,True, 4.2 ,True,"1,276",Fastrack Analog Silver Dial Men's Watch-3291SM02/NR3291SM02,
,,,,,,-10%,https://m.media-amazon.com/images/I/41XwPlNrpBL._SY300_SX300_.jpg,,, ,766 ratings,True, 4.2 ,True,"4,495",Titan Anthracite Dial Analog Watch For Men -NR1733KM01,
,,,,,,-28%,https://m.media-amazon.com/images/I/41z+P2oWeAL._SY300_SX300_.jpg,,, ,655 ratings,True, 4.3 ,True,"1,836",Titan Autumn-Winter 19 Analog White Dial Men's Watch NM1585SL07/NN1585SL07/NP1585SL07,
,,,,,,-13%,https://m.media-amazon.com/images/I/31ayabtfFAL._SY300_SX300_.jpg,,, ,"5,392 ratings",True, 4.1 ,True,"1,036",Fastrack Casual Analog White Dial Men's Watch NM3114PP01/NN3114PP01/NP3114PP01,
,,,,,,-89%,https://m.media-amazon.com/images/I/41jBBbRE8eL._SY300_SX300_.jpg,,,₹284,"3,811 ratings",True, 3.6 ,True,284,Matrix Day & Date Analog Men's Watch,
