band_color,band_material,band_width,case_diameter,case_material,case_thickness,discount,img,item_weight,manufacturer,mrp,num_ratings,pay_on_delivery,rating,returnable,sp,title,warranty
NA,Silicone,22 Millimeters,45 Millimeters,Brass,7,-82%,https://m.media-amazon.com/images/I/417gNnjTKEL._SY300_SX300_.jpg,150 Grams,LOUIS DEVIN, ,"2,330 ratings",TRUE,3.9,TRUE,389,LOUIS DEVIN Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,Warranty Summary: 1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.
NA,Stainless Steel,22 Millimeters,43 Millimeters,Brass,7,-84%,https://m.media-amazon.com/images/I/51nyt14yYKL._SY300_SX300_.jpg,170 Grams,LOUIS DEVIN,₹329,916 ratings,TRUE,3.9,TRUE,329,LOUIS DEVIN Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),Warranty Summary: 1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.
NA,Stainless Steel,24 Millimeters,38 Millimeters,Brass,8 Millimeters,-79%,https://m.media-amazon.com/images/I/51oldet9suL._SX300_SY300_QL70_FMwebp_.jpg,NA,SWISSTYLE, ,"4,972 ratings",TRUE,3.5,TRUE,429,SWISSTYLE Black Chain Chrono Look Analog Watch for Men,DELHI
NA,Metal,22 Millimeters,49.2 Millimeters,Brass,11.2 Millimeters,-16%,https://m.media-amazon.com/images/I/416v9yZteVL._SY300_SX300_.jpg,200 Grams,Titan, ,973 ratings,TRUE,4.3,TRUE,"6,430",Titan Neo Iv Analog Black Dial Men's Watch-NL1805NM01/NP1805NM01,
NA,NA,NA,NA,NA,NA,-70%,https://m.media-amazon.com/images/I/41lCyYdNHgL._SY300_SX300_.jpg,NA,NA,₹239,"9,066 ratings",TRUE,3.8,TRUE,239,TIMEWEAR Men's Analog Number Dial Brown Leather Strap Watch,NA
NA,Silicone,22 Millimeters,44 Millimeters,Stainless Steel,12 Millimeters,-85%,https://m.media-amazon.com/images/I/41nvFIqlOPL._SY300_SX300_.jpg,NA,Matrix, ,874 ratings,TRUE,3.6,TRUE,299,Matrix Antique Day & Date Leather Strap Analog Silicone Watch For Men & Boys - Black,1 Year Manufacturing Warranty
NA,Stainless Steel,22 Millimeters,42 Millimeters,Stainless Steel,10 Millimeters,-89%,https://m.media-amazon.com/images/I/41jBBbRE8eL._SY300_SX300_.jpg,NA,Matrix, ,"3,811 ratings",TRUE,3.6,TRUE,284,Matrix Day & Date Analog Men's Watch,1 Year Manufacturer Warranty
NA,Stainless Steel,20,45,Stainless Steel,12 Millimeters,-85%,https://m.media-amazon.com/images/I/41UKdzu7GyL._SY300_SX300_.jpg,180 Grams,LOUIS DEVIN, ,"1,235 ratings",TRUE,3.8,TRUE,359,LOUIS DEVIN WT005 Stainless Steel Chain Analog Wrist Watch for Men,NA
NA,NA,NA,NA,NA,NA,-34%,https://m.media-amazon.com/images/I/41KT1BHfYZL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹2,306.70","5,010 ratings",TRUE, ,TRUE,"2,306",Timex Analog Black Dial Men's Watch-TW000U934,NA
NA,Leather,20 Millimeters,45 Millimeters,Plastic,10.5 Millimeters,-8%,https://m.media-amazon.com/images/I/319pbJErEaL._SY300_SX300_.jpg,NA,Sonata,₹875,604 ratings,TRUE,4.2,TRUE,875,Sonata Volt+ Analog Green Dial Men's Watch NM77085PL02/NN77085PL02W/NP77085PL02W,
NA,NA,NA,NA,NA,NA,-25%,https://m.media-amazon.com/images/I/31IMLodT6VL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹1,796.25",396 ratings,TRUE,4.3,TRUE,"1,796",Casio Analog Blue Dial Men's Watch-MTP-V002D-2B3UDF,NA
NA,Stainless Steel,22 Millimeters,38 Millimeters,Alloy Steel,8 Millimeters,-72%,https://m.media-amazon.com/images/I/51j5h2m-WYL._SY300_SX300_.jpg,100 Grams,TIMEWEAR,₹249,"1,088 ratings",TRUE,3.9,TRUE,249,TIMEWEAR Analog Minute Track Dial Stainless Steel Chain Watch for Men,One Year Manufacturer Warranty
NA,Silicone,22 Millimeters,44 Millimeters,Stainless Steel,12 Millimeters,-84%,https://m.media-amazon.com/images/I/41mzQ4Bg5hL._SY300_SX300_.jpg,NA,Matrix, ,239 ratings,TRUE,4.4,TRUE,329,Matrix Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,1 Year Manufacturing Warranty
NA,Leather,21 Millimeters,43 Millimeters,NA,12 Millimeters,-35%,https://m.media-amazon.com/images/I/51-DHFzI32L._SY300_SX300_.jpg,249 Grams,Fossil, ,"1,653 ratings",TRUE,4.4,TRUE,"8,121",Fossil Grant Sport Analog Blue Dial Men's Watch-FS5237,
NA,Silicone,26 Millimeters,5.7 Centimeters,Plastic,14.5 Millimeters,-10%,https://m.media-amazon.com/images/I/41NdBBeBgkL._SY300_SX300_.jpg,150 Grams,Fastrack, ,"11,297 ratings",TRUE,4.1,TRUE,765,Fastrack Analog Unisex-Adult Watch,
NA,Leather,20 Millimeters,38 Millimeters,Brass,8 Millimeters,-6%,https://m.media-amazon.com/images/I/41k+7M8+JfL._SY300_SX300_.jpg,349 Grams,Sonata, ,"1,865 ratings",TRUE,4.2,TRUE,799,Sonata Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W,
NA,Stainless Steel,20 Millimeters,43.5 Millimeters,Metal,10.4 Millimeters,-20%,https://m.media-amazon.com/images/I/510w3tb530L._SY300_SX300_.jpg,124 Grams,Casio, ,171 ratings,TRUE,4.4,TRUE,"4,796",Casio Enticer Analog Blue Dial Men's Watch-MTP-1374D-2A2VDF/MTP-1374HD-2A2VIF,12 months
NA,Stainless Steel,20 Millimeters,45.6 Millimeters,Brass,8.25 Millimeters,-10%,https://m.media-amazon.com/images/I/31sFbhco+PL._SY300_SX300_.jpg,45 Grams,Titan, ,"1,638 ratings",FALSE,4.3,FALSE,"1,795",Titan Karishma Analog Black Dial Men's Watch NM1639SM02/NN1639SM02,
NA,NA,NA,NA,NA,NA,-37%,https://m.media-amazon.com/images/I/41Ch2jgXeAL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹1,645.00",40 ratings,TRUE,4.1,TRUE,"1,645",Fastrack Analog Black Dial Men's Casual Watch,NA
NA,Silicone,25 Millimeters,49.9 Millimeters,Plastic,16 Millimeters,-22%,https://m.media-amazon.com/images/I/414l07ZXtwL._SY300_SX300_.jpg,190 Grams,Fastrack,"₹1,240",233 ratings,TRUE,4.2,TRUE,"1,240",Fastrack Black Dial Analog Watch for Men -NR38058PP03,NA
NA,Plastic,22 Millimeters,35 Millimeters,"Plastic, Alloy Steel",8 Millimeters,,https://m.media-amazon.com/images/I/41F88lRIcAL._SY300_SX300_.jpg,45 Grams,Sonata, ,830 ratings,TRUE,4.2,TRUE,549,Sonata White Dial Analog watch For Men-NR7921PP15,
NA,Leather,22 Millimeters,46 Millimeters,Aluminium,17 Millimeters,-65%,https://m.media-amazon.com/images/I/519+H695XLL._SY300_SX300_.jpg,185 Grams,NAVIFORCE, ,251 ratings,TRUE,4.2,TRUE,"2,439",NAVIFORCE Analog Men's Watch (Green Dial Green Colored Strap),1 Year Seller Warranty
NA,Stainless Steel,22 Millimeters,39.18 Millimeters,Stainless Steel,8.08 Millimeters,-20%,https://m.media-amazon.com/images/I/31btcr6uZpL._SY300_SX300_.jpg,109 Grams,Titan,"₹1,596",874 ratings,TRUE,4.2,TRUE,"1,596",Titan Black Dial Analog Watch For Men -NR1578SM04,
NA,Silicone,22 Millimeters,5.7 Centimeters,Brass,10 Millimeters,-85%,https://m.media-amazon.com/images/I/41zbTPPYsyL._SX300_SY300_.jpg,NA,Matrix, ,168 ratings,TRUE,4.1,TRUE,379,Matrix Swap Analog Black Dial Watch with Interchangeable Straps for Men & Boys,1 Year Manufacturer Warranty
NA,Synthetic,24 Millimeters,35 Millimeters,Plastic,11 Millimeters,-4%,https://m.media-amazon.com/images/I/41Xtmy4z3vL._SY300_SX300_.jpg,NA,Sonata, ,"10,792 ratings",TRUE,4,TRUE,625,Sonata White Dial Analog watch For Men-NR7930PP01,
NA,Stainless Steel,24 Inches,38 Millimeters,Brass,35 Millimeters,-80%,https://m.media-amazon.com/images/I/51tSY+bQgFL._SY300_SX300_.jpg,250 Grams,HEMT,₹399,"1,375 ratings",TRUE,3.8,TRUE,399,HEMT Analog Multi Color Dial Men's Watch-HM-GR092-,1 year
NA,Stainless Steel,22 Millimeters,38 Millimeters,Brass,4,-82%,https://m.media-amazon.com/images/I/41jM-+2+oOS._SY300_SX300_.jpg,180 Grams,LOUIS DEVIN, ,331 ratings,TRUE,3.7,TRUE,479,LOUIS DEVIN LD-BK047-GLDBLK Black Metal Chain Analog Wrist Watch for Men,1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.
