Title,Image,Ratings,Price,Availability
It's Only the Himalayas,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,Two,£45.17,True
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,Four,£49.43,True
See America: A Celebration of Our National Parks & Treasured Sites,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,Three,£48.87,True
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,Two,£36.94,True
Under the Tuscan Sun,https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,Three,£37.33,True
A Summer In Europe,https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,Two,£44.34,True
The Great Railway Bazaar,https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,One,£30.54,True
A Year in Provence (Provence #1),https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,Four,£56.88,True
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,One,£23.21,True
Neither Here nor There: Travels in Europe,https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,Three,£38.95,True
"1,000 Places to See Before You Die",https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,Five,£26.08,True
